Date,site_temp_min,site_temp_max,site_temp_WMO,site_temp_USGS,Precip_Weighing_Incremental,WindSpeed,RadiationIn,RadiationOut,VecAvgWindDir
2013/03/21,-23.1,-13.9,-18.5,-20.2,nan,1.4,146.4,115.9,nan
2013/03/22,-18.8,-12.3,-15.6,-15.1,nan,9.9,80.3,64.7,nan
2013/03/23,-13.9,-10.8,-12.4,-11.9,nan,7.8,80.4,68.8,nan
2013/03/24,-10.6,-4.2,-7.4,-7.6,nan,6.8,71.9,58.7,nan
2013/03/25,-17.6,-4.2,-10.9,-10.0,nan,4.3,95.7,76.4,nan
2013/03/26,-20.7,-17.0,-18.9,-18.8,nan,2.2,161.9,134.9,nan
2013/03/27,-21.4,-17.0,-19.2,-19.1,nan,1.7,169.7,143.3,nan
2013/03/28,-17.3,-11.4,-14.4,-14.4,nan,3.5,124.6,101.3,nan
2013/03/29,-11.4,-8.6,-10.0,-9.6,nan,5.1,111.3,89.4,nan
2013/03/30,-9.0,-5.4,-7.2,-8.1,nan,2.0,121.5,112.5,nan
2013/03/31,-11.1,-4.9,-8.0,-8.8,nan,2.5,125.2,135.5,nan
2013/04/01,-14.3,-9.2,-11.8,-10.6,nan,7.1,191.4,163.5,nan
2013/04/02,-14.2,-4.3,-9.2,-10.6,nan,1.2,181.6,148.9,nan
2013/04/03,-13.6,-4.2,-8.9,-11.1,nan,4.2,179.0,155.5,nan
2013/04/04,-16.0,-12.0,-14.0,-13.7,nan,6.7,200.0,162.2,nan
2013/04/05,-20.4,-14.3,-17.4,-18.0,nan,2.8,200.1,160.1,nan
2013/04/06,-18.2,-11.4,-14.8,-13.9,nan,5.2,211.0,166.8,nan
2013/04/07,-13.8,-9.2,-11.5,-11.6,nan,11.6,187.3,141.2,nan
2013/04/08,-11.4,-5.1,-8.2,-7.5,nan,6.8,143.0,113.2,nan
2013/04/09,-17.8,-4.3,-11.1,-9.7,nan,5.4,125.9,103.3,nan
2013/04/10,-19.9,-17.4,-18.6,-18.8,nan,5.7,193.0,145.7,nan
2013/04/11,-20.1,-16.9,-18.5,-19.0,nan,3.6,204.6,158.5,nan
2013/04/12,-21.0,-17.1,-19.1,-18.5,nan,8.4,230.6,176.4,nan
2013/04/13,-18.2,-10.2,-14.2,-15.7,nan,3.1,232.3,174.0,nan
2013/04/14,-19.0,-7.9,-13.4,-14.5,nan,2.2,237.5,174.7,nan
2013/04/15,-16.4,-14.4,-15.4,-15.2,nan,4.9,222.0,164.3,nan
2013/04/16,-15.9,-11.5,-13.7,-13.5,nan,5.9,167.1,133.8,nan
2013/04/17,-15.9,-12.4,-14.2,-14.4,nan,13.8,174.2,129.3,nan
2013/04/18,-17.6,-11.3,-14.5,-14.7,nan,9.6,237.5,174.8,nan
2013/04/19,-14.7,-7.2,-10.9,-8.8,nan,6.3,254.8,184.2,nan
2013/04/20,-11.1,-2.6,-6.8,-8.7,nan,1.0,254.6,176.7,nan
2013/04/21,-10.9,-3.2,-7.1,-8.0,nan,1.1,258.0,180.0,nan
2013/04/22,-10.3,-3.3,-6.8,-7.2,nan,1.4,262.0,183.1,nan
2013/04/23,-7.6,-5.7,-6.7,-6.7,nan,2.1,176.8,129.7,nan
2013/04/24,-12.2,-4.7,-8.4,-8.8,nan,4.0,205.8,165.2,nan
2013/04/25,-17.0,-12.1,-14.6,-14.7,nan,9.4,261.6,185.8,nan
2013/04/26,-17.5,-12.1,-14.8,-14.6,nan,7.1,261.0,184.5,nan
2013/04/27,-17.8,-13.0,-15.4,-15.2,nan,9.9,240.1,169.2,nan
2013/04/28,-17.5,-11.8,-14.7,-14.8,nan,7.1,291.9,204.1,nan
2013/04/29,-15.5,-7.9,-11.7,-12.5,nan,0.9,235.6,165.2,nan
2013/04/30,-13.6,-9.0,-11.3,-11.5,nan,2.3,241.6,192.8,nan
2013/05/01,-11.2,-6.3,-8.8,-8.8,nan,2.4,255.7,202.0,nan
2013/05/02,-8.9,-5.2,-7.1,-6.5,nan,6.5,191.2,157.5,nan
2013/05/03,-5.6,-3.8,-4.7,-4.4,nan,1.7,99.2,73.7,nan
2013/05/04,-11.2,0.0,-5.6,-5.4,nan,0.3,182.4,156.5,nan
2013/05/05,-12.1,-1.1,-6.6,-8.5,nan,0.3,296.0,230.6,nan
2013/05/06,-11.1,-0.9,-6.0,-7.9,nan,0.3,295.2,221.6,nan
2013/05/07,-10.6,-3.4,-7.0,-7.6,nan,0.3,270.1,203.5,nan
2013/05/08,-9.5,3.4,-3.0,-5.0,nan,1.2,305.3,222.9,nan
2013/05/09,-5.3,5.4,0.1,-0.9,nan,1.8,286.5,202.8,nan
2013/05/10,-2.2,4.9,1.4,1.9,nan,1.3,288.8,194.2,nan
2013/05/11,-2.6,2.0,-0.3,-0.5,nan,3.9,247.3,164.0,nan
2013/05/12,-4.4,0.2,-2.1,-2.4,nan,3.2,231.9,162.3,nan
2013/05/13,-12.5,-4.2,-8.3,-8.0,nan,6.4,208.3,159.8,nan
2013/05/14,-11.1,-2.3,-6.7,-7.1,nan,1.5,247.6,191.4,nan
2013/05/15,-9.3,-5.8,-7.6,-8.1,nan,6.4,219.0,176.4,nan
2013/05/16,-8.4,-4.1,-6.2,-6.1,nan,7.2,175.4,134.9,nan
2013/05/17,-7.6,-1.4,-4.5,-3.4,nan,4.7,208.0,170.1,nan
2013/05/18,-15.3,-8.3,-11.8,-12.0,nan,10.5,234.9,176.0,nan
2013/05/19,-15.7,-9.5,-12.6,-12.1,nan,4.5,340.3,236.1,nan
2013/05/20,-10.6,0.7,-5.0,-5.4,nan,0.9,340.7,226.5,nan
2013/05/21,-5.0,6.2,0.6,-0.3,nan,1.1,346.5,218.5,nan
2013/05/22,-1.8,7.9,3.1,1.5,nan,0.8,345.0,205.5,nan
2013/05/23,-1.7,2.7,0.5,1.0,nan,4.1,348.4,203.8,nan
2013/05/24,1.2,6.3,3.8,4.0,nan,3.5,347.6,189.3,nan
2013/05/25,4.4,9.9,7.2,6.1,nan,1.1,346.5,173.7,nan
2013/05/26,4.7,9.1,6.9,6.6,nan,1.6,314.7,148.5,nan
2013/05/27,4.4,9.3,6.9,7.1,nan,3.1,347.4,142.5,nan
2013/05/28,7.0,10.7,8.8,9.0,nan,4.3,359.3,123.1,nan
2013/05/29,8.4,10.4,9.4,9.2,nan,3.5,354.0,101.5,nan
2013/05/30,6.9,10.5,8.7,8.7,nan,2.2,355.1,91.7,nan
2013/05/31,7.6,10.6,9.1,9.1,nan,4.8,355.9,86.5,nan
2013/06/01,7.4,10.4,8.9,9.2,nan,5.8,358.6,85.2,nan
2013/06/02,1.3,10.3,5.8,5.9,nan,1.2,300.3,68.5,nan
2013/06/03,-1.9,3.7,0.9,0.6,nan,0.9,189.6,39.6,nan
2013/06/04,-2.3,1.1,-0.6,-1.2,nan,2.4,225.1,107.9,nan
2013/06/05,-2.5,1.7,-0.4,-0.8,nan,1.4,306.3,119.5,nan
2013/06/06,-0.8,7.6,3.4,3.5,nan,4.6,368.4,89.3,nan
2013/06/07,2.5,6.2,4.3,4.6,nan,6.7,369.1,84.2,nan
2013/06/08,3.8,6.9,5.3,5.5,nan,7.0,327.9,73.6,nan
2013/06/09,4.3,8.1,6.2,6.4,nan,4.0,351.4,78.1,nan
2013/06/10,1.2,6.6,3.9,3.7,nan,6.4,339.9,72.6,nan
2013/06/11,-0.2,4.3,2.0,2.5,nan,6.3,376.8,83.1,nan
2013/06/12,0.8,4.4,2.6,3.2,nan,5.8,356.7,79.1,nan
