Date,site_temp_min,site_temp_max,site_temp_WMO,site_temp_USGS,Precip_Weighing_Incremental,Precip_Stage_Incremental,RelHum,WindSpeed,WindGustSpeed,WindDir,VecAvgWindDir
1995/10/05,-4.5,-2.5,-3.5,-3.4,nan,nan,nan,16.6,nan,nan,nan
1995/10/06,-3.2,0.3,-1.5,-1.8,nan,nan,nan,7.3,nan,nan,nan
1995/10/07,-2.4,2.2,-0.1,-0.5,nan,nan,nan,2.8,nan,nan,nan
1995/10/08,-3.2,3.7,0.3,-0.8,nan,nan,nan,nan,nan,nan,nan
1995/10/09,-3.6,4.3,0.4,-1.4,nan,nan,nan,4.4,nan,nan,nan
1995/10/10,-4.3,-0.5,-2.4,-3.1,nan,nan,nan,2.6,nan,nan,nan
1995/10/11,-5.0,2.2,-1.4,-2.1,nan,nan,nan,6.9,nan,nan,nan
1995/10/12,-7.2,-3.9,-5.6,-5.4,nan,nan,nan,10.7,nan,nan,nan
1995/10/13,-8.1,-5.0,-6.5,-6.6,nan,nan,nan,nan,nan,nan,nan
1995/10/14,-12.3,-6.5,-9.4,-9.2,nan,nan,nan,nan,nan,nan,nan
1995/10/15,-7.2,-2.5,-4.9,-5.6,nan,nan,nan,nan,nan,nan,nan
1995/10/16,-7.1,-1.4,-4.3,-5.2,nan,nan,nan,7.5,nan,nan,nan
1995/10/17,-10.9,-2.5,-6.7,-5.5,nan,nan,nan,6.9,nan,nan,nan
1995/10/18,-11.4,-3.4,-7.4,-6.6,nan,nan,nan,6.5,nan,nan,nan
1995/10/19,-4.7,1.5,-1.6,-1.3,nan,nan,nan,11.6,nan,nan,nan
1995/10/20,-5.4,-1.6,-3.5,-4.3,nan,nan,nan,1.9,nan,nan,nan
1995/10/21,-4.9,-2.6,-3.7,-3.6,nan,nan,nan,nan,nan,nan,nan
1995/10/22,-6.3,0.2,-3.0,-2.5,nan,nan,nan,8.5,nan,nan,nan
1995/10/23,-6.7,-2.4,-4.5,-4.4,nan,nan,nan,1.7,nan,nan,nan
1995/10/24,-4.8,0.4,-2.2,-2.8,nan,nan,nan,18.7,nan,nan,nan
1995/10/25,-4.6,-0.9,-2.8,-2.6,nan,nan,nan,5.1,nan,nan,nan
1995/10/26,-8.4,-4.2,-6.3,-5.8,nan,nan,nan,4.7,nan,nan,nan
1995/10/27,-11.0,-6.7,-8.8,-8.3,nan,nan,nan,5.0,nan,nan,nan
1995/10/28,-11.3,-5.5,-8.4,-7.8,nan,nan,nan,8.8,nan,nan,nan
1995/10/29,-6.4,-4.2,-5.3,-5.2,nan,nan,nan,12.0,nan,nan,nan
1995/10/30,-4.4,3.9,-0.3,0.2,nan,nan,nan,12.1,nan,nan,nan
1995/10/31,-0.2,3.1,1.4,1.9,nan,nan,nan,8.2,nan,nan,nan
1995/11/01,-4.5,0.5,-2.0,-1.2,nan,nan,nan,7.8,nan,nan,nan
1995/11/02,-7.6,-4.0,-5.8,-6.2,nan,nan,nan,nan,nan,nan,nan
1995/11/03,-10.0,-7.4,-8.7,-8.8,nan,nan,nan,21.8,nan,nan,nan
1995/11/04,-12.4,-9.7,-11.0,-11.3,nan,nan,nan,53.5,nan,nan,nan
1995/11/05,-15.1,-11.1,-13.1,-12.8,nan,nan,nan,36.4,nan,nan,nan
1995/11/06,-17.0,-11.8,-14.4,-15.1,nan,nan,nan,5.7,nan,nan,nan
1995/11/07,-13.9,-7.9,-10.9,-11.2,nan,nan,nan,9.5,nan,nan,nan
1995/11/08,-11.4,-6.9,-9.2,-8.3,nan,nan,nan,27.4,nan,nan,nan
1995/11/09,-14.8,-8.6,-11.7,-11.9,nan,nan,nan,17.4,nan,nan,nan
1995/11/10,-14.2,-10.8,-12.5,-12.5,nan,nan,nan,20.6,nan,nan,nan
1995/11/11,-17.4,-11.7,-14.5,-14.7,nan,nan,nan,20.6,nan,nan,nan
1995/11/12,-14.4,-9.9,-12.1,-11.8,nan,nan,nan,5.9,nan,nan,nan
1995/11/13,-15.3,-11.0,-13.2,-12.4,nan,nan,nan,4.6,nan,nan,nan
1995/11/14,-13.4,-10.5,-11.9,-11.9,nan,nan,nan,3.6,nan,nan,nan
1995/11/15,-14.5,-5.8,-10.2,-10.1,nan,nan,nan,7.1,nan,nan,nan
1995/11/16,-10.9,-3.0,-6.9,-6.1,nan,nan,nan,6.7,nan,nan,nan
1995/11/17,-6.0,-2.8,-4.4,-4.2,nan,nan,nan,6.6,nan,nan,nan
1995/11/18,-8.6,-5.0,-6.8,-7.2,nan,nan,nan,3.1,nan,nan,nan
1995/11/19,-6.6,-3.9,-5.2,-5.5,nan,nan,nan,9.1,nan,nan,nan
1995/11/20,-9.4,-5.0,-7.2,-7.3,nan,nan,nan,5.2,nan,nan,nan
1995/11/21,-7.8,-4.4,-6.1,-6.0,nan,nan,nan,7.6,nan,nan,nan
